lsoa21cd,msoa21cd,lad22cd,uk_COB,europe_eu_countries_COB,europe_non_eu_countries_COB,africa_COB,asia_middle_east_COB,americas_carribean_COB,antarctica_oceana_COB,british_overseas_COB,bangladesh_ethnicity,chinese_ethnicity,indian_ethnicity,pakistani_ethnicity,asian_other_ethnicity,african_ethnicity,caribbean_ethnicity,afro_caribbean_other_ethnicity,white_english_ethnicity,white_irish_ethnicity,white_gypsy_irish_traveller_ethnicity,white_roma_ethnicity,white_other_ethnicity,arab_ethnicity,any_other_ethnicity,total_number_of_households,household_w_dep_kid_0_4_count,household_w_dep_kid_5_9_count,household_w_dep_kid_0_4_prop,household_w_dep_kid_5_9_prop,eligible,share_of_eligible
E01011283,E02002388,E08000035,1326,99,7,85,48,11,1,0,0,15,12,0,18,127,6,20,1170,2,0,0,95,9,11,632,118,72,18.670886075949365,11.39240506329114,190,30.063291139240505
E01032606,E02002396,E08000035,1888,124,7,43,26,21,0,0,0,10,11,0,3,47,8,20,1776,14,2,3,147,4,6,925,134,62,14.486486486486486,6.702702702702703,196,21.18918918918919
E01032500,E02002396,E08000035,959,236,6,75,80,14,5,11,0,2,130,0,6,112,19,4,785,12,0,0,224,0,39,636,84,26,13.20754716981132,4.088050314465409,110,17.29559748427673
E01032607,E02002396,E08000035,994,159,11,46,44,10,1,7,0,12,51,0,3,48,24,9,886,9,1,5,120,1,27,647,40,27,6.182380216383308,4.1731066460587325,67,10.35548686244204
E01011294,E02002400,E08000035,1372,109,45,50,105,10,0,30,5,1,204,5,40,65,44,13,1050,12,20,4,101,9,35,492,63,44,12.804878048780488,8.94308943089431,107,21.747967479674795
E01011295,E02002388,E08000035,1407,185,16,42,45,10,1,2,6,4,10,6,12,63,15,4,1286,13,1,48,135,36,20,753,114,66,15.139442231075698,8.764940239043824,180,23.904382470119522
E01011281,E02002388,E08000035,1704,211,17,97,121,19,2,13,9,33,68,9,33,117,30,20,1425,20,6,2,213,15,35,900,121,70,13.444444444444445,7.777777777777778,191,21.22222222222222
E01011282,E02002388,E08000035,1310,32,4,28,13,0,2,0,0,0,12,0,6,37,0,4,1256,2,1,0,28,0,4,611,78,49,12.76595744680851,8.01963993453355,127,20.78559738134206
E01011286,E02002388,E08000035,1133,78,4,27,48,3,0,0,2,18,25,2,22,43,3,0,1010,13,0,1,89,3,17,582,66,41,11.34020618556701,7.0446735395189,107,18.38487972508591
E01011287,E02002396,E08000035,1334,50,8,38,28,2,1,0,0,4,11,0,10,36,4,9,1269,11,0,3,43,4,10,664,90,43,13.55421686746988,6.475903614457831,133,20.03012048192771
E01011284,E02002400,E08000035,1582,409,37,72,88,28,1,4,6,10,57,6,19,81,16,6,1318,9,7,17,470,22,28,1090,150,80,13.761467889908257,7.339449541284404,230,21.10091743119266
E01032608,E02002396,E08000035,834,128,10,26,92,21,2,2,0,4,127,0,33,24,11,8,700,10,0,7,115,3,5,517,46,22,8.897485493230175,4.25531914893617,68,13.152804642166345
E01011292,E02002400,E08000035,1247,269,8,187,225,10,1,11,0,3,155,0,44,236,19,17,968,6,2,20,234,64,35,952,113,68,11.869747899159664,7.142857142857143,181,19.01260504201681
E01011293,E02002400,E08000035,1218,382,16,102,215,15,0,13,1,3,407,1,32,137,26,11,823,12,0,16,293,14,46,846,120,64,14.184397163120567,7.5650118203309695,184,21.749408983451538
E01011303,E02002417,E08000035,1107,23,0,7,8,1,0,0,0,8,0,0,0,14,2,2,1087,5,2,0,7,0,3,497,48,36,9.6579476861167,7.2434607645875255,84,16.901408450704224
E01011301,E02002418,E08000035,1202,29,5,1,8,1,2,0,0,1,0,0,3,4,1,2,1190,4,0,0,17,0,3,558,40,39,7.168458781362007,6.989247311827957,79,14.157706093189963
E01011302,E02002417,E08000035,1730,25,1,4,13,2,3,0,0,4,1,0,0,1,1,2,1719,8,0,6,15,5,0,776,77,41,9.922680412371134,5.283505154639175,118,15.206185567010309
E01011320,E02002420,E08000035,1310,163,20,76,207,10,2,2,90,21,219,90,39,103,12,6,963,36,0,3,134,3,27,688,97,64,14.098837209302326,9.30232558139535,161,23.401162790697676
