"postcode","ls_tag"
"LS1  2DT",1
"LS1 2DU",1
"LS1  2DU",1
"LS1 2DW",1
"LS1  2DW",1
"LS1 2DX",1
"LS1  2DX",1
"LS1 2DY",1
"LS1  2DY",1
"LS1 2DZ",1
"LS1  2DZ",1
"LS1 2EA",1
"LS1  2EA",1
"LS1 2EB",1
"LS1  2EB",1
"LS1 2ED",1
"LS1  2ED",1
"LS1 2EE",1
"LS1  2EE",1
"LS1 2EF",1
"LS1  2EF",1
"LS1 2EG",1
"LS1  2EG",1
"LS1 2EH",1
"LS1  2EH",1
"LS1 2EJ",1
"LS1  2EJ",1
"LS1 2EL",1
"LS1  2EL",1
"LS1 2EN",1
"LS1  2EN",1
"LS1 2EP",1
"LS1  2EP",1
"LS1 2EQ",1
"LS1  2EQ",1
"LS1 2ER",1
"LS1  2ER",1
"LS1 2ES",1
"LS1  2ES",1
"LS1 2ET",1
"LS1  2ET",1
"LS1 2EU",1
"LS1  2EU",1
"LS1 2EW",1
"LS1  2EW",1
"LS1 2EX",1
"LS1  2EX",1
"LS1 2EY",1
"LS1  2EY",1
"LS1 2EZ",1
"LS1  2EZ",1
"LS1 2FA",1
"LS1  2FA",1
"LS1 2FB",1
"LS1  2FB",1
"LS1 2FD",1
"LS1  2FD",1
"LS1 2FE",1
"LS1  2FE",1
"LS1 2FF",1
"LS1  2FF",1
"LS1 2FG",1
"LS1  2FG",1
"LS1 2FH",1
"LS1  2FH",1
"LS1 2FJ",1
"LS1  2FJ",1
"LS1 2FL",1
"LS1  2FL",1
"LS1 2FN",1
"LS1  2FN",1
"LS1 2FP",1
"LS1  2FP",1
"LS1 2FQ",1
"LS1  2FQ",1
"LS1 2HA",1
"LS1  2HA",1
"LS1 2HB",1
"LS1  2HB",1
"LS1 2HD",1
"LS1  2HD",1
"LS1 2HE",1
"LS1  2HE",1
"LS1 2HF",1
"LS1  2HF",1
"LS1 2HG",1
"LS1  2HG",1
"LS1 2HH",1
"LS1  2HH",1
"LS1 2HJ",1
"LS1  2HJ",1
"LS1 2HL",1
"LS1  2HL",1
"LS1 2HN",1
"LS1  2HN",1
"LS1 2HP",1
"LS1  2HP",1
"LS1 2HQ",1
